Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,_codespell.py,parse_file,Complex Conditional,991.0,,,Conditional at line 991 has 3 logical operators (threshold: 2)
dataset,_codespell.py,open_with_internal,Complex Method,,263.0,288.0,Method 'open_with_internal' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,_codespell.py,parse_options,Complex Method,,375.0,697.0,Method 'parse_options' has cyclomatic complexity of 17 (threshold: 7)
dataset,_codespell.py,ask_for_word_fix,Complex Method,,754.0,813.0,Method 'ask_for_word_fix' has cyclomatic complexity of 15 (threshold: 7)
dataset,_codespell.py,parse_file,Complex Method,,873.0,1084.0,Method 'parse_file' has cyclomatic complexity of 54 (threshold: 7)
dataset,_codespell.py,main,Complex Method,,1117.0,1351.0,Method 'main' has cyclomatic complexity of 52 (threshold: 7)
dataset,_codespell.py,,Long Identifier,,,,Identifier 'ENABLE_VIRTUAL_TERMINAL_PROCESSING' has 34 characters (threshold: 20)
dataset,_codespell.py,parse_ignore_words_option,Long Identifier,,,,Identifier 'comma_separated_words' has 21 characters (threshold: 20)
dataset,_codespell.py,parse_file,Long Identifier,,,,Identifier 'extra_words_to_ignore' has 21 characters (threshold: 20)
dataset,_codespell.py,main,Long Identifier,,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20)
dataset,_codespell.py,file_level,Long Lambda Function,337.0,,,Lambda at line 337 has 81 characters (threshold: 80). Convert to named function.
dataset,_codespell.py,file_level,Long Lambda Function,1097.0,,,Lambda at line 1097 has 81 characters (threshold: 80). Convert to named function.
dataset,_codespell.py,_split_lines,Long Message Chain,325.0,,,Message chain at line 325 has 3 chained methods (threshold: 2)
dataset,_codespell.py,ask_for_word_fix,Long Message Chain,776.0,,,Message chain at line 776 has 3 chained methods (threshold: 2)
dataset,_codespell.py,ask_for_word_fix,Long Message Chain,791.0,,,Message chain at line 791 has 3 chained methods (threshold: 2)
dataset,_codespell.py,ask_for_word_fix,Long Message Chain,799.0,,,Message chain at line 799 has 3 chained methods (threshold: 2)
dataset,_codespell.py,parse_options,Long Method,,375.0,697.0,Method 'parse_options' has 323 lines (threshold: 67)
dataset,_codespell.py,parse_file,Long Method,,873.0,1084.0,Method 'parse_file' has 212 lines (threshold: 67)
dataset,_codespell.py,main,Long Method,,1117.0,1351.0,Method 'main' has 235 lines (threshold: 67)
dataset,_codespell.py,ask_for_word_fix,Long Parameter List,,,,Method 'ask_for_word_fix' has 5 parameters (threshold: 4)
dataset,_codespell.py,apply_uri_ignore_words,Long Parameter List,,,,Method 'apply_uri_ignore_words' has 6 parameters (threshold: 4)
dataset,_codespell.py,parse_file,Long Parameter List,,,,Method 'parse_file' has 13 parameters (threshold: 4)
dataset,_codespell.py,,Long Statement,111.0,,,Line 111 has 124 characters (threshold: 120)
dataset,_codespell.py,,Magic Number,45.0,,,Magic number 4 found at line 45
dataset,_codespell.py,,Magic Number,142.0,,,Magic number 64 found at line 142
dataset,_codespell.py,,Magic Number,143.0,,,Magic number 65 found at line 143
dataset,_codespell.py,,Magic Number,144.0,,,Magic number 78 found at line 144
dataset,_codespell.py,,Magic Number,157.0,,,Magic number 2 found at line 157
dataset,_codespell.py,,Magic Number,158.0,,,Magic number 4 found at line 158
dataset,_codespell.py,,Magic Number,159.0,,,Magic number 8 found at line 159
dataset,_codespell.py,,Magic Number,160.0,,,Magic number 16 found at line 160
dataset,_codespell.py,,Magic Number,161.0,,,Magic number 32 found at line 161
dataset,_codespell.py,__str__,Magic Number,201.0,,,Magic number 15 found at line 201
dataset,_codespell.py,ask_for_word_fix,Magic Number,786.0,,,Magic number 2 found at line 786
dataset,_codespell.py,parse_file,Magic Number,1031.0,,,Magic number 2 found at line 1031
dataset,addr.py,expand_range,Complex Method,,36.0,65.0,Method 'expand_range' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,addr.py,,Long Statement,31.0,,,Line 31 has 125 characters (threshold: 120)
dataset,addr.py,addr_to_int,Magic Number,14.0,,,Magic number 24 found at line 14
dataset,addr.py,int_to_addr,Magic Number,17.0,,,Magic number 255 found at line 17
dataset,addr.py,make_mask,Magic Number,20.0,,,Magic number 4294967295 found at line 20
dataset,addr.py,inet_ntoa6,Magic Number,34.0,,,Magic number 4 found at line 34
dataset,addr.py,expand_range,Magic Number,47.0,,,Magic number 32 found at line 47
dataset,alienvault.py,fetch,Complex Method,,26.0,35.0,Method 'fetch' has cyclomatic complexity of 8 (threshold: 7)
dataset,alienvault.py,fetch,Long Lambda Function,31.0,,,Lambda at line 31 has 154 characters (threshold: 80). Convert to named function.
dataset,alienvault.py,handle_reason,Missing Default,17.0,,,Match-case at line 17 missing default case
dataset,checkpointing.py,file_level,Long Identifier,,,,Identificador 'unreplicated_learner_state' possui 27 caracteres (> 20).
dataset,checkpointing.py,restore_params,Long Identifier,,,,Identifier 'restored_learner_state_raw' has 26 characters (threshold: 20)
dataset,checkpointing.py,file_level,Long Lambda Function,85.0,,,Lambda at line 85 has 81 characters (threshold: 80). Convert to named function.
dataset,checkpointing.py,__init__,Long Message Chain,103.0,,,Message chain at line 103 has 3 chained methods (threshold: 2)
dataset,checkpointing.py,__init__,Long Method,,39.0,114.0,Method '__init__' has 76 lines (threshold: 67)
dataset,checkpointing.py,__init__,Long Parameter List,,,,Method '__init__' has 7 parameters (threshold: 4)
dataset,colorized.py,write,Complex Method,,21.0,42.0,Method 'write' has cyclomatic complexity of 10 (threshold: 7). Extract nested conditions into separate methods.
dataset,colorized.py,write,Long Lambda Function,27.0,,,Lambda at line 27 has 144 characters (threshold: 80)
dataset,colorized.py,write,Long Lambda Function,28.0,,,Lambda at line 28 has 85 characters (threshold: 80)
dataset,colorized.py,write,Long Lambda Function,34.0,,,Lambda at line 34 has 125 characters (threshold: 80)
dataset,colorized.py,write,Long Lambda Function,36.0,,,Lambda at line 36 has 108 characters (threshold: 80)
