Package,Module,Class,Function,Complex method,Long parameter list,Long method,Complex conditional,Empty catch block,Long identifier,Long statement,Magic number,Missing default,Long lambda function,Long message chain
codespell,,,,,,,,,,,,,,
codespell_lib,_codespell,,parse_options,,,1,,,,,,,,
codespell_lib,_codespell,,ask_for_word_fix,1,,1,,,,,,,,
codespell_lib,_spellchecker,,,,,,,,,,,,,
codespell_lib,_spellchecker,,parse_file,1,1,1,,,,,,,,
codespell_lib,_spellchecker,,apply_uri_ignore_words,,1,,,,,,,,,
codespell_lib,_spellchecker,,main,1,,1,,,,,,,,
codespell_lib,_text_util,,,,,,,,,,,,,
codespell_lib.tests,test_basic,,test_basic,,,1,,,,,,,,
codespell_lib.tests,test_basic,,test_interactivity,,,1,,,,,,,,
codespell_lib.tests,test_basic,,test_check_hidden,,,1,,,,,,,,
codespell_lib.tests,test_basic,,test_context,,,1,,,,,,,,
codespell_lib.tests,test_basic,,test_uri_ignore_words_list_option_uri,,,1,,,,,,,,
codespell_lib.tests,test_basic,,test_uri_regex_def,,,1,,,,,,,,
codespell_lib.tests,test_basic,,test_config_toml,,,1,,,,,,,,
codespell_lib.tests,test_dictionary,,_check_err_rep,,,1,,,,,,,,
codespell_lib.tests,test_dictionary,,test_dictionary_looping,,1,1,,,,,,,,
mava,,,,,,,,,,,,,,
mava.advanced_usage,ff_ippo_store_experience,,get_learner_fn,,,1,,,,,,,,
mava.advanced_usage,ff_ippo_store_experience,,learner_setup,,,1,,,,,,,,
mava.advanced_usage,ff_ippo_store_experience,,run_experiment,,,1,,,,,,,,
mava.networks,base,,,,,,,,,,,,,
mava.networks,distributions,,,,,,,,,,,,,
mava.networks,heads,,,,,,,,,,,,,
mava.networks,torsos,,,,,,,,,,,,,
mava.networks,__init__,,,,,,,,,,,,,
mava.systems.ppo.anakin,__init__,,,,,,,,,,,,,
mava.systems.ppo.anakin,ff_ippo,,learner_setup,,,1,,,,,,,,
mava.systems.ppo.anakin,ff_ippo,,run_experiment,,,1,,,,,,,,
mava.systems.ppo.anakin,ff_ippo,,get_learner_fn,,,1,,,,,,,,
mava.systems.ppo.anakin,ff_mappo,,learner_setup,,,1,,,,,,,,
mava.systems.ppo.anakin,ff_mappo,,run_experiment,,,1,,,,,,,,
mava.systems.ppo.anakin,ff_mappo,,get_learner_fn,,,1,,,,,,,,
mava.systems.ppo.anakin,rec_ippo,,learner_setup,,,1,,,,,,,,
mava.systems.ppo.anakin,rec_ippo,,run_experiment,,,1,,,,,,,,
mava.systems.ppo.anakin,rec_ippo,,get_learner_fn,,,1,,,,,,,,
mava.systems.ppo.anakin,rec_mappo,,,,,,,,,,,,,
mava.systems.ppo,__init__,,,,,,,,,,,,,
mava.systems.ppo,types,,,,,,,,,,,,,
mava.systems.q_learning.anakin,rec_iql,,,,,,,,,,,,,
mava.systems.q_learning,types,,,,,,,,,,,,,
mava.systems.sac,types,,,,,,,,,,,,,
mava.systems.sac.anakin,ff_isac,,init,1,,,,,,,,,,
mava.systems.sac.anakin,ff_isac,,make_update_fns,1,,1,,,,,,,,
mava.systems.sac.anakin,ff_isac,,run_experiment,1,,,,,,,,,,
mava.systems.sac.anakin,ff_masac,,,,,,,,,,,,,
mava.utils,centralised_training,,,,,,,,,,,,,
mava.utils,checkpointing,Checkpointer,__init__,,1,,,,,,,,,
mava.utils,jax_utils,,,,,,,,,,,,,
mava.utils,logger,,,,,,,,,,,,,
mava.utils,make_env,,,,,,,,,,,,,
mava.utils,total_timestamp_checker,,,,,,,,,,,,,
mava.utils,training,,,,,,,,,,,,,
maltrail,,,,,,,,,,,,,,
core,addr,,,,,,,,,,,,,
core,attribdict,,,,,,,,,,,,,
core,colorized,,,,,,,,,,,,,
core,common,,ipcat_lookup,,1,,,,,,,,,
core,compat,,,,,,,,,,,,,
core,datatype,,,,,,,,,,,,,
core,enums,,,,,,,,,,,,,
core,httpd(nested),,,,,,,,,,,,,
core,ignore,,ignore_event,,1,,,,,,,,,
core,log,,event,,,1,,,,,,,,
core,log,,flush_condensed_events,,1,,,,,,,,,
