Project,Package,Module,Class,Smell,Method,Line no,File,Description
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Complex method,run_experiment,491 - 602,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,"Method 'run_experiment' has a cyclomatic complexity of 8, exceeding the max of 6."
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long message chain,init,112,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: actor_torso = hydra.utils.instantiate(cfg.network.actor_network.pre_torso)."
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long message chain,init,120,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: critic_torso = hydra.utils.instantiate(cfg.network.critic_network.pre_torso)."
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long method,init,58 - 208,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,Method 'init' is too long (87 lines).
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long method,make_update_fns,211 - 488,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,Method 'make_update_fns' is too long (232 lines).
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long method,run_experiment,491 - 602,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,Method 'run_experiment' is too long (86 lines).
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long parameter list,make_update_fns,211 - 488,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,"make_update_fns has 6 parameters, exceeding the max of 5."
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,init,70,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 616 chars in init exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,init,163,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 149 chars in init exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,init,171,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 171 chars in init exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,make_update_fns,222,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 570 chars in make_update_fns exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,make_update_fns,399,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 247 chars in make_update_fns exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,make_update_fns,471,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 162 chars in make_update_fns exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,Long statement,make_update_fns,479,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py,A line with 178 chars in make_update_fns exceeds the maximum length of 120 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long lambda function,learner_setup,546,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,A Lambda with 105 chars in learner_setup exceeds the maximum length of 80 characters.
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Complex method,run_experiment,583 - 721,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,"Method 'run_experiment' has a cyclomatic complexity of 9, exceeding the max of 6."
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long message chain,learner_setup,457,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: actor_pre_torso = hydra.utils.instantiate(config.network.actor_network.pre_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long message chain,learner_setup,458,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: actor_post_torso = hydra.utils.instantiate(config.network.actor_network.post_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long message chain,learner_setup,462,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: critic_pre_torso = hydra.utils.instantiate(config.network.critic_network.pre_torso)."
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,Long message chain,learner_setup,463,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: critic_post_torso = hydra.utils.instantiate(config.network.critic_network.post_torso)."
