Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,ff_ippo_store_experience.py,_update_step,Complex method,,68,308,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,_update_epoch,Complex method,,154,296,Method '_update_epoch' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo_store_experience.py,get_learner_fn,Long method,,57,343,Method 'get_learner_fn' has 281 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,learner_setup,Long method,,346,448,Method 'learner_setup' has 102 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,run_experiment,Long method,,451,671,Method 'run_experiment' has 220 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo_store_experience.py,run_experiment,Complex conditional,639,,,Conditional at line 639 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,ff_ippo_store_experience.py,file_level,Long statement,104,,,Line 104 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,217,,,Line 217 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,223,,,Line 223 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,286,,,Line 286 has 123 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,332,,,Line 332 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,424,,,Line 424 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,431,,,Line 431 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,435,,,Line 435 has 123 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,438,,,Line 438 has 123 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,463,,,Line 463 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,471,,,Line 471 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,552,,,Line 552 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,553,,,Line 553 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long statement,656,,,Line 656 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_ippo_store_experience.py,file_level,Long identifier,502,,,Identifier 'dummy_flashbax_transition' has 27 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,file_level,Long identifier,547,,,Identifier '_reshape_experience' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,file_level,Long identifier,579,,,Identifier 'flashbax_transition' has 22 characters (threshold: 20). Consider shortening.
dataset,ff_ippo_store_experience.py,_get_advantages,Magic number,141,,,Magic number 1e-8 found in '_get_advantages'. Define as EPSILON = 1e-8.
dataset,ff_ippo_store_experience.py,_actor_loss_fn,Magic number,177,,,Magic number 1e-8 found in '_actor_loss_fn'. Define as EPSILON = 1e-8.
dataset,ff_ippo_store_experience.py,_critic_loss_fn,Magic number,210,,,Magic number 0.5 found in '_critic_loss_fn'. Define as VALUE_LOSS_COEF = 0.5.
dataset,ff_ippo_store_experience.py,file_level,Long lambda function,413,,,Lambda at line 413 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_ippo_store_experience.py,_reshape_experience,Long message chain,550,,,Message chain at line 550 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,ff_ippo_store_experience.py,_reshape_experience,Long message chain,553,,,Message chain at line 553 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,checkpointing.py,__init__,Long parameter list,39,,,Method '__init__' has 7 parameters (threshold: 4). Consider introducing a parameter object or using keyword-only arguments.
dataset,checkpointing.py,restore_params,Long parameter list,149,,,Method 'restore_params' has 5 parameters (threshold: 4). Consider introducing a parameter object or using keyword-only arguments.
dataset,checkpointing.py,Checkpointer.__init__,Long statement,104,,,Line 104 has 121 characters (threshold: 120). Break into multiple lines.
dataset,checkpointing.py,Checkpointer.restore_params,Long statement,175,,,Line 175 has 125 characters (threshold: 120). Break into multiple lines.
dataset,checkpointing.py,Checkpointer.restore_params,Long statement,203,,,Line 203 has 121 characters (threshold: 120). Break into multiple lines.
dataset,checkpointing.py,Checkpointer.__init__,Long identifier,119,,,Identifier 'unreplicated_learner_state' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,Checkpointer.restore_params,Long identifier,185,,,Identifier 'restored_learner_state_raw' has 27 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long message chain,181,,,Message chain at line 181 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,ff_isac.py,update_actor_and_alpha,Complex method,,342,384,Method 'update_actor_and_alpha' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_isac.py,init,Long method,,58,208,Method 'init' has 150 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_isac.py,make_update_fns,Long method,,211,458,Method 'make_update_fns' has 247 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_isac.py,run_experiment,Long method,,491,603,Method 'run_experiment' has 112 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_isac.py,update_actor_and_alpha,Complex conditional,348,,,Conditional at line 348 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,ff_isac.py,make_update_fns,Long parameter list,211,,,Method 'make_update_fns' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,actor_loss_fn,Long parameter list,284,,,Method 'actor_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,train,Long parameter list,387,,,Method 'train' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,act,Long parameter list,418,,,Method 'act' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,explore,Long parameter list,431,,,Method 'explore' has 7 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,update_step,Long parameter list,450,,,Method 'update_step' has 7 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,file_level,Long statement,96,,,Line 96 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,104,,,Line 104 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,124,,,Line 124 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,125,,,Line 125 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,141,,,Line 141 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,183,,,Line 183 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,184,,,Line 184 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,190,,,Line 190 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,191,,,Line 191 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,206,,,Line 206 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,208,,,Line 208 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,355,,,Line 355 has 125 characters (threshold: 120). Break into multiple lines.
dataset,ff_isac.py,file_level,Long statement,374,,,Line 374 has 125 characters (threshold: 120). Break into multiple lines.
